t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.4726,-0.076958,5.2511
0.02,0.6059,-0.20094,5.3398
0.03,0.58075,-0.17021,5.3398
0.04,0.56908,-0.15883,5.3398
0.05,0.55742,-0.1461,5.3398
0.06,0.54517,-0.13082,5.3398
0.07,0.53316,-0.11341,5.3398
0.08,0.52129,-0.095078,5.3398
0.09,0.50961,-0.075664,5.3398
0.1,0.49835,-0.055301,5.3398
0.11,0.48734,-0.034757,5.3398
0.12,0.47664,-0.014095,5.3398
0.13,0.46651,0.0061353,5.3398
0.14,0.45665,0.025944,5.3398
0.15,0.44715,0.045082,5.3398
0.16,0.43817,0.063093,5.3398
0.17,0.42947,0.080425,5.3398
0.18,0.42119,0.096772,5.3398
0.19,0.41344,0.11196,5.3398
0.2,0.40596,0.1265,5.3398
0.21,0.39884,0.14012,5.3398
0.22,0.39217,0.15283,5.3398
0.23,0.38578,0.165,5.3398
0.24,0.3798,0.17638,5.3398
0.25,0.37422,0.18712,5.3398
0.26,0.36888,0.19745,5.3398
0.27,0.36392,0.20714,5.3398
0.28,0.35932,0.21634,5.3398
0.29,0.35496,0.22523,5.3398
0.3,0.35097,0.23364,5.3398
0.31,0.34728,0.2417,5.3398
0.32,0.34383,0.24952,5.3398
0.33,0.34076,0.25691,5.3398
0.34,0.33796,0.26402,5.3398
0.35,0.33534,0.27091,5.3398
0.36,0.33307,0.2775,5.3398
0.37,0.33102,0.28386,5.3398
0.38,0.32915,0.29005,5.3398
0.39,0.32763,0.29594,5.3398
0.4,0.32629,0.30163,5.3398
0.41,0.32509,0.30716,5.3398
0.42,0.32418,0.31247,5.3398
0.43,0.32341,0.31763,5.3398
0.44,0.32278,0.32266,5.3398
0.45,0.32241,0.32747,5.3398
0.46,0.32215,0.33215,5.3398
0.47,0.32202,0.33671,5.3398
0.48,0.32209,0.3411,5.3398
0.49,0.32224,0.3454,5.3398
0.5,0.32248,0.34961,5.3398
0.51,0.32288,0.35361,5.3398
0.52,0.32337,0.35755,5.3398
0.53,0.32397,0.36141,5.3398
0.54,0.32467,0.36517,5.3398
0.55,0.32542,0.36885,5.3398
0.56,0.32626,0.37243,5.3398
0.57,0.32718,0.37593,5.3398
0.58,0.32815,0.37939,5.3398
0.59,0.32919,0.38278,5.3398
0.6,0.33032,0.38605,5.3398
0.61,0.33147,0.38927,5.3398
0.62,0.33266,0.39242,5.3398
0.63,0.33395,0.39553,5.3398
0.64,0.33526,0.39861,5.3398
0.65,0.33658,0.40163,5.3398
0.66,0.33795,0.40458,5.3398
0.67,0.33936,0.4075,5.3398
0.68,0.34085,0.4104,5.3398
0.69,0.34229,0.41325,5.3398
0.7,0.34375,0.41606,5.3398
0.71,0.34531,0.41883,5.3398
0.72,0.34686,0.42158,5.3398
0.73,0.34842,0.4243,5.3398
0.74,0.34999,0.42704,5.3398
0.75,0.35159,0.42972,5.3398
0.76,0.3532,0.43237,5.3398
0.77,0.35481,0.435,5.3398
0.78,0.35642,0.43766,5.3398
0.79,0.35803,0.44033,5.3398
0.8,0.35963,0.44295,5.3398
0.81,0.36125,0.44559,5.3398
0.82,0.36288,0.44824,5.3398
0.83,0.36444,0.45086,5.3398
0.84,0.366,0.45351,5.3398
0.85,0.36754,0.45618,5.3398
0.86,0.36907,0.45888,5.3398
0.87,0.37057,0.4616,5.3398
0.88,0.37204,0.46436,5.3398
0.89,0.37342,0.46712,5.3398
0.9,0.37475,0.46991,5.3398
0.91,0.37602,0.47273,5.3398
0.92,0.37723,0.47565,5.3398
0.93,0.37838,0.47859,5.3398
0.94,0.37946,0.48153,5.3398
0.95,0.38043,0.48454,5.3398
0.96,0.38132,0.48758,5.3398
0.97,0.38211,0.49068,5.3398
0.98,0.38275,0.49379,5.3398
0.99,0.38329,0.49691,5.3398
1,0.38369,0.50006,5.3398
1.01,0.3839,0.50321,5.3398
1.02,0.38397,0.50635,5.3398
1.03,0.38386,0.50951,5.3398
1.04,0.38348,0.51259,5.3398
1.05,0.38294,0.51568,5.3398
1.06,0.38217,0.51881,5.3398
1.07,0.38112,0.5218,5.3398
1.08,0.37985,0.52472,5.3398
1.09,0.37825,0.52753,5.3398
1.1,0.37626,0.53018,5.3398
1.11,0.37403,0.53269,5.3398
1.12,0.37137,0.53494,5.3398
1.13,0.36829,0.53692,5.3398
1.14,0.36488,0.53869,5.3398
1.15,0.36092,0.54008,5.3398
1.16,0.3564,0.54105,5.3398
1.17,0.3515,0.5417,5.3398
1.18,0.34591,0.54175,5.3398
1.19,0.3397,0.5412,5.3398
1.2,0.33302,0.5402,5.3398
1.21,0.32542,0.53828,5.3398
1.22,0.31712,0.53556,5.3398
1.23,0.30826,0.53218,5.3398
1.24,0.29835,0.52739,5.3398
1.25,0.28769,0.52157,5.3398
1.26,0.2764,0.51485,5.3398
1.27,0.26397,0.50607,5.3398
1.28,0.25085,0.49583,5.3398
1.29,0.23712,0.48431,5.3398
1.3,0.22237,0.4698,5.3398
1.31,0.20719,0.45341,5.3398
1.32,0.19161,0.43525,5.3398
1.33,0.17562,0.41289,5.3398
1.34,0.15974,0.38829,5.3398
1.35,0.14397,0.36126,5.3398
1.36,0.12924,0.32964,5.3398
1.37,0.11552,0.29601,5.3398
1.38,0.10297,0.26008,5.3398
1.39,0.093819,0.22179,5.3398
1.4,0.087282,0.18339,5.3398
1.41,0.084099,0.14512,5.3398
1.42,0.088779,0.1099,5.3398
1.43,0.099361,0.07769,5.3398
1.44,0.11815,0.049843,5.3398
1.45,0.15344,0.031244,5.3398
1.46,0.19911,0.019844,5.3398
1.47,0.25951,0.019346,5.3398
1.48,0.34488,0.041417,5.3398
1.49,0.36352,0.086713,5.2868
1.5,0.22109,0.17335,5.1154
